,player_id,player,fg,fga,x3p,x3pa,x2p,x2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,all_star,roy,smoy,dpoy,mip,mvp,All-League,All-Defense,All-Rookie,Finals MVP,Champion,HOFer
0,1,Al Brightman,223,870,0.0,0.0,223,870,121,193,0.0,0.0,0.0,60,0.0,0.0,0.0,115,567,0,0,0,0,0,0,0,0,0,0,0,0
1,2,Al Lujack,1,8,0.0,0.0,1,8,2,5,0.0,0.0,0.0,0,0.0,0.0,0.0,6,4,0,0,0,0,0,0,0,0,0,0,0,0
2,3,Al Negratti,13,69,0.0,0.0,13,69,5,8,0.0,0.0,0.0,5,0.0,0.0,0.0,20,31,0,0,0,0,0,0,0,0,0,0,0,0
3,4,Angelo Musi,558,1921,0.0,0.0,558,1921,243,315,0.0,0.0,0.0,117,0.0,0.0,0.0,284,1359,0,0,0,0,0,0,0,0,0,0,0,0
4,5,Ariel Maughan,820,2915,0.0,0.0,820,2915,587,833,0.0,0.0,141.0,317,0.0,0.0,0.0,757,2227,0,0,0,0,0,0,0,0,0,0,0,0
5,6,Armand Cure,4,15,0.0,0.0,4,15,2,3,0.0,0.0,0.0,0,0.0,0.0,0.0,5,10,0,0,0,0,0,0,0,0,0,0,0,0
6,7,Art Hillhouse,134,483,0.0,0.0,134,483,150,203,0.0,0.0,0.0,44,0.0,0.0,0.0,169,418,0,0,0,0,0,0,0,0,0,0,0,0
7,8,Art Spector,322,1149,0.0,0.0,322,1149,208,362,0.0,0.0,0.0,143,0.0,0.0,0.0,351,852,0,0,0,0,0,0,0,0,0,0,0,0
8,9,Art Stolkey,36,164,0.0,0.0,36,164,30,44,0.0,0.0,0.0,38,0.0,0.0,0.0,72,102,0,0,0,0,0,0,0,0,0,0,0,0
9,10,Aubrey Davis,107,381,0.0,0.0,107,381,73,115,0.0,0.0,0.0,14,0.0,0.0,0.0,136,287,0,0,0,0,0,0,0,0,0,0,0,0
10,11,Aud Brindley,14,49,0.0,0.0,14,49,6,7,0.0,0.0,0.0,1,0.0,0.0,0.0,16,34,0,0,0,0,0,0,0,0,0,0,0,0
11,12,Belus Smawley,1481,4207,0.0,0.0,1481,4207,1085,1343,0.0,0.0,374.0,756,0.0,0.0,0.0,729,4047,0,0,0,0,0,0,0,0,0,0,0,0
12,13,Ben Goldfaden,0,2,0.0,0.0,0,2,2,4,0.0,0.0,0.0,0,0.0,0.0,0.0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
13,14,Ben Scharnus,33,166,0.0,0.0,33,166,37,60,0.0,0.0,0.0,19,0.0,0.0,0.0,83,103,0,0,0,0,0,0,0,0,0,0,0,0
14,15,Bill Davis,35,146,0.0,0.0,35,146,14,41,0.0,0.0,0.0,11,0.0,0.0,0.0,92,84,0,0,0,0,0,0,0,0,0,0,0,0
15,16,Bob Cluggish,93,356,0.0,0.0,93,356,52,91,0.0,0.0,0.0,22,0.0,0.0,0.0,113,238,0,0,0,0,0,0,0,0,0,0,0,0
16,17,Bob Dille,111,563,0.0,0.0,111,563,74,111,0.0,0.0,0.0,40,0.0,0.0,0.0,92,296,0,0,0,0,0,0,0,0,0,0,0,0
17,18,Bob Doll,633,2211,0.0,0.0,633,2211,387,585,0.0,0.0,0.0,273,0.0,0.0,0.0,509,1653,0,0,0,0,0,0,0,0,0,0,0,0
18,19,Bob Duffy,14,64,0.0,0.0,14,64,10,14,0.0,0.0,0.0,0,0.0,0.0,0.0,34,38,0,0,0,0,0,0,0,0,0,0,0,0
19,20,Bob Faught,141,478,0.0,0.0,141,478,61,106,0.0,0.0,0.0,33,0.0,0.0,0.0,97,343,0,0,0,0,0,0,0,0,0,0,0,0
20,21,Bob Feerick,1077,2977,0.0,0.0,1077,2977,782,972,0.0,0.0,0.0,440,0.0,0.0,0.0,592,2936,0,0,0,0,0,0,13,0,0,0,0,0
21,22,Bob Fitzgerald,146,753,0.0,0.0,146,753,169,270,0.0,0.0,0.0,82,0.0,0.0,0.0,332,461,0,0,0,0,0,0,0,0,0,0,0,0
22,23,Bob Gantt,29,89,0.0,0.0,29,89,13,28,0.0,0.0,0.0,5,0.0,0.0,0.0,45,71,0,0,0,0,0,0,0,0,0,0,0,0
23,24,Bob Mullens,250,890,0.0,0.0,250,890,128,204,0.0,0.0,0.0,108,0.0,0.0,0.0,188,628,0,0,0,0,0,0,0,0,0,0,0,0
24,25,Bob Rensberger,0,7,0.0,0.0,0,7,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26,Bob Shea,37,153,0.0,0.0,37,153,19,33,0.0,0.0,0.0,6,0.0,0.0,0.0,42,93,0,0,0,0,0,0,0,0,0,0,0,0
26,27,Bones McKinney,1247,4171,0.0,0.0,1247,4171,762,1071,0.0,0.0,571.0,588,0.0,0.0,0.0,1159,3256,0,0,0,0,0,0,8,0,0,0,0,0
27,28,Buck Sydnor,5,26,0.0,0.0,5,26,5,10,0.0,0.0,0.0,0,0.0,0.0,0.0,6,15,0,0,0,0,0,0,0,0,0,0,0,0
28,29,Bud Palmer,624,1916,0.0,0.0,624,1916,489,662,0.0,0.0,0.0,187,0.0,0.0,0.0,465,1737,0,0,0,0,0,0,0,0,0,0,0,0
29,30,Buddy O'Grady,292,1074,0.0,0.0,292,1074,172,249,0.0,0.0,0.0,165,0.0,0.0,0.0,235,756,0,0,0,0,0,0,0,0,0,0,0,0
30,31,Butch van Breda Kolff,242,794,0.0,0.0,242,794,342,511,0.0,0.0,0.0,256,0.0,0.0,0.0,350,826,0,0,0,0,0,0,0,0,0,0,0,0
31,32,Cecil Hankins,140,507,0.0,0.0,140,507,114,185,0.0,0.0,0.0,22,0.0,0.0,0.0,77,394,0,0,0,0,0,0,0,0,0,0,0,0
32,33,Charlie Hoefer,263,1047,0.0,0.0,263,1047,186,286,0.0,0.0,0.0,69,0.0,0.0,0.0,301,712,0,0,0,0,0,0,0,0,0,0,0,0
33,34,Chet Aubuchon,23,91,0.0,0.0,23,91,19,35,0.0,0.0,0.0,20,0.0,0.0,0.0,46,65,0,0,0,0,0,0,0,0,0,0,0,0
34,35,Chet Carlisle,100,373,0.0,0.0,100,373,56,92,0.0,0.0,0.0,17,0.0,0.0,0.0,136,256,0,0,0,0,0,0,0,0,0,0,0,0
35,36,Chick Halbert,1432,4601,0.0,0.0,1432,4601,1377,2157,0.0,0.0,1078.0,741,0.0,0.0,0.0,1331,4241,0,0,0,0,0,0,3,0,0,0,0,0
36,37,Chuck Connors,99,393,0.0,0.0,99,393,41,87,0.0,0.0,0.0,41,0.0,0.0,0.0,134,239,0,0,0,0,0,0,0,0,0,0,0,0
37,38,Chuck Gilmur,511,1571,0.0,0.0,511,1571,370,608,0.0,0.0,75.0,348,0.0,0.0,0.0,896,1392,0,0,0,0,0,0,0,0,0,0,0,0
38,39,Connie Simmons,2479,7140,0.0,0.0,2479,7140,1633,2433,0.0,0.0,2514.0,1025,0.0,0.0,0.0,2074,6591,0,0,0,0,0,0,0,0,0,0,0,0
39,40,Coulby Gunther,311,937,0.0,0.0,311,937,271,422,0.0,0.0,0.0,65,0.0,0.0,0.0,181,893,0,0,0,0,0,0,0,0,0,0,0,0
40,41,Deb Smith,32,119,0.0,0.0,32,119,9,21,0.0,0.0,0.0,6,0.0,0.0,0.0,47,73,0,0,0,0,0,0,0,0,0,0,0,0
41,42,Dick Fitzgerald,118,498,0.0,0.0,118,498,41,60,0.0,0.0,0.0,40,0.0,0.0,0.0,90,277,0,0,0,0,0,0,0,0,0,0,0,0
42,43,Dick Murphy,30,150,0.0,0.0,30,150,8,18,0.0,0.0,0.0,16,0.0,0.0,0.0,30,68,0,0,0,0,0,0,0,0,0,0,0,0
43,44,Dick Schulz,584,2267,0.0,0.0,584,2267,536,747,0.0,0.0,0.0,325,0.0,0.0,0.0,681,1704,0,0,0,0,0,0,0,0,0,0,0,0
44,45,Dino Martin,357,1215,0.0,0.0,357,1215,120,188,0.0,0.0,0.0,73,0.0,0.0,0.0,115,834,0,0,0,0,0,0,0,0,0,0,0,0
45,46,Don Carlson,599,1813,0.0,0.0,599,1813,249,400,0.0,0.0,15.0,324,0.0,0.0,0.0,511,1447,0,0,0,0,0,0,0,0,0,0,0,0
46,47,Don Eliason,0,1,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,48,Don Martin,228,794,0.0,0.0,228,794,88,158,0.0,0.0,0.0,61,0.0,0.0,0.0,366,544,0,0,0,0,0,0,0,0,0,0,0,0
48,49,Don Putman,410,1564,0.0,0.0,410,1564,210,338,0.0,0.0,0.0,285,0.0,0.0,0.0,449,1030,0,0,0,0,0,0,0,0,0,0,0,0
