Name,position,All_star_selections,In_Hall_of_fame,height,weight,born
Larry Foust,C,8,0,206,97,1928
Brad Daugherty,C,5,0,213,111,1965
Bill Laimbeer,C,4,0,211,111,1957
Red Kerr,C,3,0,206,104,1932
Red Rocha,C,2,0,206,83,1923
Jeff Ruland,C,2,0,208,108,1958
Brad Miller,C,2,0,211,110,1976
Joakim Noah,C,2,0,211,104,1985
Kevin Duckworth,C,2,0,213,124,1964
Walter Dukes,C,2,0,213,99,1930
Roy Hibbert,C,2,0,218,122,1986
Zydrunas Ilgauskas,C,2,0,221,107,1975
Alex Groza,C,1,0,201,98,1926
Steve Johnson,C,1,0,203,99,1944
Alvan Adams,C,1,0,206,95,1954
Bob Rule,C,1,0,206,99,1944
Darrall Imhoff,C,1,0,208,99,1938
Sam Lacey,C,1,0,208,106,1948
Theo Ratliff,C,1,0,208,102,1973
Ray Felix,C,1,0,211,99,1930
Jamaal Magloire,C,1,0,211,117,1978
Mehmet Okur,C,1,0,211,112,1979
Andrew Bynum,C,1,0,213,129,1987
Joe Barry Carroll,C,1,0,213,116,1958
Chris Kaman,C,1,0,213,120,1982
Bill Cartwright,C,1,0,216,111,1957
Tyson Chandler,C,1,0,216,108,1982
James Donaldson,C,1,0,218,124,1957
Mark Eaton,C,1,0,224,124,1957
Rik Smits,C,1,0,224,113,1966
Dirk Nowitzki,F,14,0,213,111,1978
Lou Hudson,F,6,0,196,95,1944
Shawn Kemp,F,6,0,208,104,1969
Amar'e Stoudemire,F,6,0,208,111,1982
Jermaine O'Neal,F,6,0,211,102,1978
Pau Gasol,F,6,0,213,113,1980
Marques Johnson,F,5,0,201,98,1956
Rudy LaRusso,F,5,0,201,99,1937
Rudy Tomjanovich,F,5,0,203,98,1948
Johnny Green,F,4,0,196,90,1933
Mel Hutchins,F,4,0,198,90,1928
Willie Naulls,F,4,0,198,102,1934
Shawn Marion,F,4,0,201,99,1978
Sidney Wicks,F,4,0,203,102,1949
Maurice Lucas,F,4,0,206,97,1952
Tom Chambers,F,4,0,208,99,1959
Rasheed Wallace,F,4,0,208,102,1974
Vin Baker,F,4,0,211,105,1971
Antoine Walker,F,3,0,193,86,1955
Tom Van Arsdale,F,3,0,196,92,1943
Mark Aguirre,F,3,0,198,105,1959
Bill Bridges,F,3,0,198,103,1939
Terry Dischinger,F,3,0,201,85,1940
Bob Kauffman,F,3,0,203,108,1946
Bob Love,F,3,0,203,97,1942
Dan Roundfield,F,3,0,203,92,1953
Buck Williams,F,3,0,203,97,1960
Detlef Schrempf,F,3,0,206,97,1963
Peja Stojakovic,F,3,0,206,99,1977
